"Invoice _ID",cogs,tax_12%,revenue,gross_margin_per
144-51-6085,282.96,33.96,316.92,10.716
145-94-9061,441.8,53.02,494.82,10.715
146-09-5432,315.36,37.84,353.2,10.713
148-41-7930,699.72,83.97,783.69,10.715
148-82-2527,121.2,14.54,135.74,10.712
149-14-0304,228,27.36,255.36,10.714
149-15-7606,335.88,40.31,376.19,10.715
149-61-1929,641.9,77.03,718.93,10.715
149-71-6266,702.63,84.32,786.95,10.715
150-89-8043,133.95,16.07,150.02,10.712
151-16-1484,129,15.48,144.48,10.714
151-27-8496,224.52,26.94,251.46,10.713
151-33-7434,67.77,8.13,75.9,10.711
152-03-4217,101.52,12.18,113.7,10.712
152-08-9985,579.24,69.51,648.75,10.714
152-68-2907,156.6,18.79,175.39,10.713
153-58-4872,299.56,35.95,335.51,10.715
154-74-7179,54.45,6.53,60.98,10.708
154-87-7367,522.08,62.65,584.73,10.714
155-45-3814,708.4,85.01,793.41,10.715
156-20-0370,25.45,3.05,28.5,10.702
156-95-3964,221.56,26.59,248.15,10.715
157-13-5295,519.4,62.33,581.73,10.715
160-22-2687,479.75,57.57,537.32,10.714
162-48-8011,222.95,26.75,249.7,10.713
162-65-8559,68.98,8.28,77.26,10.717
163-56-7055,48.71,5.85,54.56,10.722
166-19-2553,534.36,64.12,598.48,10.714
169-52-4504,47.07,5.65,52.72,10.717
172-42-8274,76.54,9.18,85.72,10.709
173-50-1108,80.72,9.69,90.41,10.718
173-57-2300,145.76,17.49,163.25,10.714
173-82-9529,379.5,45.54,425.04,10.714
174-36-3675,198.74,23.85,222.59,10.715
174-64-0215,697.4,83.69,781.09,10.715
174-75-0888,194.22,23.31,217.53,10.716
175-54-2529,177.36,21.28,198.64,10.713
176-64-7711,96.96,11.64,108.6,10.718
176-78-1170,101.43,12.17,113.6,10.713
181-82-6255,98.22,11.79,110.01,10.717
181-94-6432,138.66,16.64,155.3,10.715
182-52-7000,108.16,12.98,121.14,10.715
182-69-8360,94.6,11.35,105.95,10.713
182-88-2763,239.73,28.77,268.5,10.715
183-21-3799,698.67,83.84,782.51,10.714
183-56-6882,397.68,47.72,445.4,10.714
186-09-3669,81.51,9.78,91.29,10.713
186-43-8965,95.36,11.44,106.8,10.712
186-71-5196,159.08,19.09,178.17,10.714
186-79-9562,502.39,60.29,562.68,10.715
187-83-5490,83.08,9.97,93.05,10.715
188-55-0967,664.7,79.76,744.46,10.714
189-08-9157,285.57,34.27,319.84,10.715
189-17-4241,175.34,21.04,196.38,10.714
189-40-5216,674.59,80.95,755.54,10.714
189-52-0236,696.85,83.62,780.47,10.714
189-55-2313,621.8,74.62,696.42,10.715
189-98-2939,706.95,84.83,791.78,10.714
190-14-3147,71.88,8.63,80.51,10.719
190-59-3964,235.8,28.3,264.1,10.716
191-10-6171,277.34,33.28,310.62,10.714
191-29-0321,197.7,23.72,221.42,10.713
192-98-7397,12.78,1.53,14.31,10.692
195-06-0432,243.03,29.16,272.19,10.713
196-01-2849,513.66,61.64,575.3,10.714
197-77-7132,732.48,87.9,820.38,10.715
198-66-9832,144.08,17.29,161.37,10.715
198-84-7132,365.49,43.86,409.35,10.715
199-75-8169,158.1,18.97,177.07,10.713
200-16-5952,131.3,15.76,147.06,10.717
200-40-6154,395.46,47.46,442.92,10.715
201-63-8275,475.93,57.11,533.04,10.714
201-86-2184,183.82,22.06,205.88,10.715
207-73-1363,139.02,16.68,155.7,10.713
209-61-0206,214.55,25.75,240.3,10.716
210-30-7976,89.28,10.71,99.99,10.711
210-57-1719,524.16,62.9,587.06,10.714
210-67-5886,294.63,35.36,329.99,10.715
210-74-9613,389.04,46.68,435.72,10.713
211-05-0490,259.6,31.15,290.75,10.714
211-30-9270,87.05,10.45,97.5,10.718
212-62-1842,349.56,41.95,391.51,10.715
213-32-1216,396.36,47.56,443.92,10.714
213-72-6612,86.5,10.38,96.88,10.714
214-17-6927,98.88,11.87,110.75,10.718
214-30-2776,172.45,20.69,193.14,10.712
217-58-1179,250.6,30.07,280.67,10.714
218-59-9410,217.26,26.07,243.33,10.714
219-22-9386,899.64,107.96,1007.6,10.715
219-61-4139,83.08,9.97,93.05,10.715
220-28-1851,69.46,8.34,77.8,10.72
220-68-6701,309.88,37.19,347.07,10.715
221-25-5073,298.64,35.84,334.48,10.715
222-42-0244,648.99,77.88,726.87,10.714
225-32-0908,448.6,53.83,502.43,10.714
225-98-1496,81.06,9.73,90.79,10.717
226-31-3081,76.4,9.17,85.57,10.716
226-34-0034,55.12,6.61,61.73,10.708
226-71-3580,213.75,25.65,239.4,10.714
227-03-5010,420.72,50.49,471.21,10.715
227-07-4446,781.3,93.76,875.06,10.715
227-50-3718,73.1,8.77,81.87,10.712
227-78-1148,509.88,61.19,571.07,10.715
228-96-1411,789.6,94.75,884.35,10.714
232-11-3025,787.7,94.52,882.22,10.714
232-16-2483,68.12,8.17,76.29,10.709
233-34-0817,98.84,11.86,110.7,10.714
233-67-5758,40.35,4.84,45.19,10.71
234-03-4040,730.5,87.66,818.16,10.714
234-36-2483,345.54,41.46,387,10.713
234-65-2137,955.8,114.7,1070.5,10.715
235-06-8510,257.16,30.86,288.02,10.715
235-46-8343,276.6,33.19,309.79,10.714
236-27-1144,146.79,17.61,164.4,10.712
236-86-3015,13.98,1.68,15.66,10.728
237-01-6122,727.11,87.25,814.36,10.714
237-44-6163,84.48,10.14,94.62,10.717
238-45-6950,53.72,6.45,60.17,10.72
238-49-0436,259.68,31.16,290.84,10.714
239-10-7476,467.7,56.12,523.82,10.714
239-36-3640,272.1,32.65,304.75,10.714
239-48-4278,70.91,8.51,79.42,10.715
241-11-2261,559.02,67.08,626.1,10.714
241-72-9525,519.1,62.29,581.39,10.714
241-96-5076,98.2,11.78,109.98,10.711
242-11-3142,167.54,20.1,187.64,10.712
242-55-6721,32.32,3.88,36.2,10.718
243-47-2663,112.62,13.51,126.13,10.711
243-55-8457,744.4,89.33,833.73,10.714
244-08-0162,342.1,41.05,383.15,10.714
246-11-3901,328,39.36,367.36,10.714
246-55-6923,322.11,38.65,360.76,10.713
247-11-2470,89.28,10.71,99.99,10.711
249-42-3782,350.05,42.01,392.06,10.715
250-17-5703,188.5,22.62,211.12,10.714
250-81-7186,99.69,11.96,111.65,10.712
252-56-2699,431.9,51.83,483.73,10.715
253-12-6086,688.8,82.66,771.46,10.715
254-31-0042,193.5,23.22,216.72,10.714
256-08-8343,226.12,27.13,253.25,10.713
256-58-3609,91.98,11.04,103.02,10.716
257-60-7754,200.92,24.11,225.03,10.714
257-73-1380,331.72,39.81,371.53,10.715
258-69-7810,184.25,22.11,206.36,10.714
258-92-7466,178.4,21.41,199.81,10.715
261-12-8671,121.92,14.63,136.55,10.714
262-47-2794,574.88,68.99,643.87,10.715
263-10-3913,441.36,52.96,494.32,10.714
263-12-5321,648.2,77.78,725.98,10.714
263-87-5680,285.3,34.24,319.54,10.715
266-20-6657,385.28,46.23,431.51,10.714
266-76-6436,115.8,13.9,129.7,10.717
267-62-7380,823.4,98.81,922.21,10.714
268-03-6164,96.11,11.53,107.64,10.712
268-20-3585,124.65,14.96,139.61,10.716
268-27-6179,451.76,54.21,505.97,10.714
269-04-5750,295.28,35.43,330.71,10.713
269-10-8440,372.19,44.66,416.85,10.714
271-77-8740,175.32,21.04,196.36,10.715
271-88-8734,972.1,116.65,1088.75,10.714
272-27-9238,164.96,19.8,184.76,10.717
272-65-1806,547.92,65.75,613.67,10.714
273-16-6619,66.4,7.97,74.37,10.717
273-84-2164,60.25,7.23,67.48,10.714
274-05-5470,293.88,35.27,329.15,10.715
275-28-0149,63.69,7.64,71.33,10.711
276-54-0879,390.96,46.92,437.88,10.715
276-75-6884,206.13,24.74,230.87,10.716
277-35-5865,890.73,106.89,997.62,10.715
277-63-2961,73.97,8.88,82.85,10.718
278-86-2735,157.02,18.84,175.86,10.713
278-97-7759,62.48,7.5,69.98,10.717
279-62-1445,12.54,1.5,14.04,10.684
279-74-2924,72.17,8.66,80.83,10.714
280-17-4359,905,108.6,1013.6,10.714
280-35-5823,86.72,10.41,97.13,10.718
282-35-2475,186.62,22.39,209.01,10.712
283-26-5248,985.2,118.22,1103.42,10.714
283-79-9594,339.57,40.75,380.32,10.715
284-34-9626,231.12,27.73,258.85,10.713
284-54-4231,80.93,9.71,90.64,10.713
285-68-5083,74.22,8.91,83.13,10.718
286-01-5402,281.61,33.79,315.4,10.713
286-43-6208,790.2,94.82,885.02,10.714
286-62-6248,156.84,18.82,175.66,10.714
286-75-7818,138.16,16.58,154.74,10.715
287-21-9091,672.03,80.64,752.67,10.714
287-83-1405,152.58,18.31,170.89,10.714
288-38-3758,254.61,30.55,285.16,10.713
288-62-1085,192.7,23.12,215.82,10.713
289-15-7034,329.32,39.52,368.84,10.715
289-65-5721,162.74,19.53,182.27,10.715
290-68-2984,95,11.4,106.4,10.714
291-21-5991,306.45,36.77,343.22,10.713
291-32-1427,109.7,13.16,122.86,10.711
291-55-6563,206.52,24.78,231.3,10.713
291-59-1384,60.3,7.24,67.54,10.72
296-11-7041,27.07,3.25,30.32,10.719
299-29-0180,365.26,43.83,409.09,10.714
299-46-1805,562.32,67.48,629.8,10.715
300-71-4605,430.2,51.62,481.82,10.714
301-11-9629,133.7,16.04,149.74,10.712
301-81-8610,203.36,24.4,227.76,10.713
302-15-2162,279.18,33.5,312.68,10.714
303-96-2227,973.8,116.86,1090.66,10.715
305-03-2383,201.3,24.16,225.46,10.716
305-14-0245,755.92,90.71,846.63,10.714
305-18-3552,603.8,72.46,676.26,10.715
305-89-2768,65.7,7.88,73.58,10.709
307-04-2070,30.62,3.67,34.29,10.703
307-83-9164,240.04,28.8,268.84,10.713
307-85-2293,251.4,30.17,281.57,10.715
308-39-1707,12.09,1.45,13.54,10.709
308-47-4913,522.6,62.71,585.31,10.714
308-81-0538,292.2,35.06,327.26,10.713
311-13-6971,319.9,38.39,358.29,10.715
313-66-9943,87.45,10.49,97.94,10.711
314-23-4520,568.61,68.23,636.84,10.714
315-22-5665,735.6,88.27,823.87,10.714
316-01-3952,271.35,32.56,303.91,10.714
316-55-4634,400.25,48.03,448.28,10.714
316-66-3011,428.67,51.44,480.11,10.714
316-68-6352,72.72,8.73,81.45,10.718
318-12-0304,30.61,3.67,34.28,10.706
318-68-5053,461.94,55.43,517.37,10.714
318-81-2368,46.2,5.54,51.74,10.707
319-50-3348,80.6,9.67,90.27,10.712
319-74-2561,283.92,34.07,317.99,10.714
320-32-8842,22.62,2.71,25.33,10.699
320-49-6392,30.24,3.63,33.87,10.717
320-85-2052,34.81,4.18,38.99,10.721
321-49-7382,88.31,10.6,98.91,10.717
322-02-2271,128.91,15.47,144.38,10.715
324-41-6833,241.6,28.99,270.59,10.714
324-92-3863,41.78,5.01,46.79,10.707
325-77-6186,906.5,108.78,1015.28,10.714
325-89-4209,87.9,10.55,98.45,10.716
325-90-8763,465.7,55.88,521.58,10.714
326-71-2155,295.8,35.5,331.3,10.715
326-78-5178,639.8,76.78,716.58,10.715
327-40-9673,435.6,52.27,487.87,10.714
329-62-1586,164.01,19.68,183.69,10.714
333-23-2632,70.56,8.47,79.03,10.717
333-73-7901,439.36,52.72,492.08,10.714
334-64-2006,140.64,16.88,157.52,10.716
336-78-2147,511.28,61.35,572.63,10.714
338-65-2210,686,82.32,768.32,10.714
339-12-4827,73.96,8.88,82.84,10.719
339-18-7061,185.96,22.32,208.28,10.716
339-38-9982,119.72,14.37,134.09,10.717
339-96-8318,569.17,68.3,637.47,10.714
340-21-9136,160.2,19.22,179.42,10.712
340-66-0321,145.44,17.45,162.89,10.713
342-65-4817,260.4,31.25,291.65,10.715
343-61-3544,266.7,32,298.7,10.713
343-75-9322,94.8,11.38,106.18,10.718
343-87-0864,75.88,9.11,84.99,10.719
345-08-4992,203.94,24.47,228.41,10.713
345-68-9016,253.36,30.4,283.76,10.713
346-12-3257,173.16,20.78,193.94,10.715
346-84-3103,66.1,7.93,74.03,10.712
347-34-2234,495.63,59.48,555.11,10.715
347-56-2442,65.82,7.9,73.72,10.716
347-72-6115,635.18,76.22,711.4,10.714
349-97-8902,115.78,13.89,129.67,10.712
351-62-0822,57.92,6.95,64.87,10.714
354-25-5821,414.72,49.77,464.49,10.715
354-39-5160,206.52,24.78,231.3,10.713
355-34-6244,144.78,17.37,162.15,10.712
355-53-5943,413.04,49.56,462.6,10.713
356-44-8813,112.44,13.49,125.93,10.712
358-88-9262,524.88,62.99,587.87,10.715
359-90-3665,72.32,8.68,81,10.716
359-94-5395,92.78,11.13,103.91,10.711
360-39-5055,244.55,29.35,273.9,10.716
361-59-0574,724.24,86.91,811.15,10.714
361-85-2571,447.4,53.69,501.09,10.715
362-58-8315,382.6,45.91,428.51,10.714
364-33-8584,88.15,10.58,98.73,10.716
364-34-2972,290.46,34.86,325.32,10.716
365-16-4334,211.44,25.37,236.81,10.713
365-64-0515,234.75,28.17,262.92,10.714
366-43-6862,211.56,25.39,236.95,10.715
366-93-0948,66.35,7.96,74.31,10.712
369-82-2676,378.3,45.4,423.7,10.715
370-41-7321,510.21,61.23,571.44,10.715
370-96-0655,295.92,35.51,331.43,10.714
371-85-5789,263.94,31.67,295.61,10.713
372-26-1506,119.1,14.29,133.39,10.713
372-62-5264,473.4,56.81,530.21,10.715
372-94-8041,91.56,10.99,102.55,10.717
373-09-4567,775.6,93.07,868.67,10.714
373-14-0504,143.26,17.19,160.45,10.714
373-73-7910,604.17,72.5,676.67,10.714
373-88-1424,179.05,21.49,200.54,10.716
374-17-3652,385.38,46.25,431.63,10.715
374-38-5555,318.55,38.23,356.78,10.715
375-72-3056,189.18,22.7,211.88,10.714
376-02-8238,750.96,90.12,841.08,10.715
376-56-3573,381.68,45.8,427.48,10.714
377-79-7592,403.56,48.43,451.99,10.715
378-07-7001,144.27,17.31,161.58,10.713
378-24-2715,106.88,12.83,119.71,10.718
379-17-6588,596.1,71.53,667.63,10.714
380-60-5336,402.6,48.31,450.91,10.714
380-94-4661,263.76,31.65,295.41,10.714
381-20-0914,180.09,21.61,201.7,10.714
382-03-4532,18.33,2.2,20.53,10.716
382-25-8917,252.48,30.3,282.78,10.715
384-59-6655,887.94,106.55,994.49,10.714
386-27-7606,568.4,68.21,636.61,10.715
387-49-4215,145.5,17.46,162.96,10.714
388-76-2555,82.14,9.86,92,10.717
389-25-3394,59.05,7.09,66.14,10.72
389-70-2397,418.3,50.2,468.5,10.715
390-17-5806,38.42,4.61,43.03,10.713
390-31-6381,81.66,9.8,91.46,10.715
390-80-5128,19.15,2.3,21.45,10.723
393-65-2792,894.8,107.38,1002.18,10.715
394-30-3170,707.44,84.89,792.33,10.714
394-41-0748,486.63,58.4,545.03,10.715
394-43-4238,88.85,10.66,99.51,10.712
394-55-6384,631.71,75.81,707.52,10.715
396-90-2219,119.68,14.36,134.04,10.713
397-25-8725,356.58,42.79,399.37,10.714
399-46-5918,687.84,82.54,770.38,10.714
399-69-4630,133.26,15.99,149.25,10.714
400-45-1220,135,16.2,151.2,10.714
400-60-7251,74.07,8.89,82.96,10.716
400-80-4065,274.2,32.9,307.1,10.713
400-89-4171,647.76,77.73,725.49,10.714
401-09-4232,433.45,52.01,485.46,10.714
401-18-8016,98.13,11.78,109.91,10.718
404-91-5964,522.06,62.65,584.71,10.715
405-31-3305,431.3,51.76,483.06,10.715
406-46-7107,579.12,69.49,648.61,10.714
407-63-8975,443.28,53.19,496.47,10.714
408-26-9866,517.86,62.14,580,10.714
408-66-6712,286.26,34.35,320.61,10.714
409-33-9708,196.96,23.64,220.6,10.716
409-49-6995,283.62,34.03,317.65,10.713
410-67-1709,511.04,61.32,572.36,10.714
411-77-0180,505.4,60.65,566.05,10.715
413-20-6708,51.47,6.18,57.65,10.72
414-12-7047,158.32,19,177.32,10.715
416-13-5917,485.15,58.22,543.37,10.715
416-17-9926,742.2,89.06,831.26,10.714
418-02-5978,756.81,90.82,847.63,10.715
418-05-0656,178.92,21.47,200.39,10.714
420-04-7590,299.1,35.89,334.99,10.714
420-11-4919,356.95,42.83,399.78,10.713
420-18-8989,412.16,49.46,461.62,10.714
420-97-3340,215.04,25.8,240.84,10.713
421-95-9805,28.96,3.48,32.44,10.727
422-29-8786,335.45,40.25,375.7,10.713
423-57-2993,560.34,67.24,627.58,10.714
423-64-4619,139.95,16.79,156.74,10.712
423-80-0988,152.8,18.34,171.14,10.716
425-85-2085,274.3,32.92,307.22,10.715
426-39-2418,429.87,51.58,481.45,10.713
427-45-9297,285.11,34.21,319.32,10.713
428-83-5800,63.24,7.59,70.83,10.716
430-02-3888,276.12,33.13,309.25,10.713
430-53-4718,602.96,72.36,675.32,10.715
430-60-3493,664.16,79.7,743.86,10.714
431-66-2305,794.25,95.31,889.56,10.714
433-08-7822,552.23,66.27,618.5,10.715
433-75-6987,391.79,47.01,438.8,10.713
434-35-9162,93.36,11.2,104.56,10.712
434-83-9547,307.76,36.93,344.69,10.714
435-13-4908,693.44,83.21,776.65,10.714
436-54-4512,91.61,10.99,102.6,10.712
437-53-3084,199.78,23.97,223.75,10.713
437-58-8131,147.04,17.64,164.68,10.712
438-01-4015,197.96,23.76,221.72,10.716
438-23-1242,531.16,63.74,594.9,10.714
439-54-7422,204.76,24.57,229.33,10.714
440-59-5691,260.05,31.21,291.26,10.716
441-94-7118,71.95,8.63,80.58,10.71
442-44-6497,166.71,20.01,186.72,10.717
442-48-3607,46.96,5.64,52.6,10.722
443-59-0061,674.5,80.94,755.44,10.714
443-60-9639,60.87,7.3,68.17,10.709
443-82-0585,310.72,37.29,348.01,10.715
445-30-9252,77.1,9.25,86.35,10.712
446-47-6729,199.64,23.96,223.6,10.716
447-15-7839,222.4,26.69,249.09,10.715
448-34-8700,258.37,31,289.37,10.713
448-61-3783,720.16,86.42,806.58,10.714
448-81-5016,119.54,14.34,133.88,10.711
449-16-6770,253.95,30.47,284.42,10.713
449-27-2918,39.12,4.69,43.81,10.705
450-28-2866,87.2,10.46,97.66,10.711
450-42-3339,846.1,101.53,947.63,10.714
451-28-5717,499.02,59.88,558.9,10.714
451-73-2711,84.83,10.18,95.01,10.715
452-04-8808,609.56,73.15,682.71,10.715
453-12-7053,137.22,16.47,153.69,10.716
453-33-6436,744.96,89.4,834.36,10.715
453-63-6187,82.5,9.9,92.4,10.714
457-12-0244,211.32,25.36,236.68,10.715
457-13-1708,652.3,78.28,730.58,10.715
457-94-0464,790.83,94.9,885.73,10.714
458-10-8612,448.56,53.83,502.39,10.715
458-41-1477,277.56,33.31,310.87,10.715
458-61-0011,241.2,28.94,270.14,10.713
459-45-2396,298.8,35.86,334.66,10.715
459-50-7686,140.76,16.89,157.65,10.714
460-35-4390,92.04,11.04,103.08,10.71
460-93-5834,319.06,38.29,357.35,10.715
462-67-9126,439.32,52.72,492.04,10.715
462-78-5240,53.22,6.39,59.61,10.72
466-61-5506,544.2,65.3,609.5,10.714
468-01-2051,434.56,52.15,486.71,10.715
468-88-0009,263.76,31.65,295.41,10.714
468-99-7231,352.08,42.25,394.33,10.714
470-31-3286,44.46,5.34,49.8,10.723
470-32-9057,256.7,30.8,287.5,10.713
471-06-8611,52.42,6.29,58.71,10.714
471-41-2823,199.58,23.95,223.53,10.714
472-15-9636,407.44,48.89,456.33,10.714
474-33-8305,471.73,56.61,528.34,10.715
477-24-6490,598.26,71.79,670.05,10.714
477-59-2456,318.08,38.17,356.25,10.714
478-06-7835,89.69,10.76,100.45,10.712
479-26-8945,32.98,3.96,36.94,10.72
480-63-2856,154,18.48,172.48,10.714
482-17-1179,35.82,4.3,40.12,10.718
483-71-1164,487.8,58.54,546.34,10.715
484-22-8230,363.23,43.59,406.82,10.715
485-30-8700,166.3,19.96,186.26,10.716
487-79-6868,110.61,13.27,123.88,10.712
488-25-4221,30.41,3.65,34.06,10.716
489-64-4354,16.28,1.95,18.23,10.697
489-82-1237,657.16,78.86,736.02,10.714
490-29-1201,15.34,1.84,17.18,10.71
490-95-0021,332.1,39.85,371.95,10.714
491-38-3499,55.45,6.65,62.1,10.709
493-65-6248,369.8,44.38,414.18,10.715
497-36-0989,155.82,18.7,174.52,10.715
497-37-6538,412.37,49.48,461.85,10.713
498-41-1961,333.4,40.01,373.41,10.715
499-27-7781,425.68,51.08,476.76,10.714
500-02-2261,343.74,41.25,384.99,10.715
501-61-1753,378.9,45.47,424.37,10.715
502-05-1910,195.54,23.46,219,10.712
503-07-0930,408.73,49.05,457.78,10.715
503-21-4385,119.73,14.37,134.1,10.716
504-35-8843,42.47,5.1,47.57,10.721
505-02-0892,340.56,40.87,381.43,10.715
509-10-0516,183.88,22.07,205.95,10.716
509-29-3912,348.48,41.82,390.3,10.715
510-09-5628,196.6,23.59,220.19,10.713
510-79-0415,138.48,16.62,155.1,10.716
510-95-6347,145.56,17.47,163.03,10.716
511-54-3087,88.45,10.61,99.06,10.711
512-91-0811,89.75,10.77,100.52,10.714
512-98-1403,79.44,9.53,88.97,10.711
514-37-2845,198.5,23.82,222.32,10.714
516-77-6464,50.8,6.1,56.9,10.721
518-17-2983,194.52,23.34,217.86,10.713
518-71-6847,159.6,19.15,178.75,10.713
521-18-7827,196.95,23.63,220.58,10.713
522-57-8364,410.72,49.29,460.01,10.715
523-38-0215,37,4.44,41.44,10.714
525-09-8450,721.3,86.56,807.86,10.715
525-88-7307,75.82,9.1,84.92,10.716
526-86-8552,218.2,26.18,244.38,10.713
527-09-6272,142.25,17.07,159.32,10.714
528-14-9470,91.3,10.96,102.26,10.718
528-87-5606,39.48,4.74,44.22,10.719
529-56-3974,102.04,12.24,114.28,10.711
530-90-9855,380.72,45.69,426.41,10.715
531-56-4728,240.24,28.83,269.07,10.715
531-80-1784,182.14,21.86,204,10.716
532-59-7201,479.58,57.55,537.13,10.714
533-33-5337,793.9,95.27,889.17,10.714
533-66-5566,357.49,42.9,400.39,10.715
534-01-4457,490.26,58.83,549.09,10.714
534-53-3526,379.04,45.48,424.52,10.713
537-72-0426,709.9,85.19,795.09,10.715
538-22-0304,649.5,77.94,727.44,10.714
539-21-7227,257.7,30.92,288.62,10.713
540-11-4336,224.46,26.94,251.4,10.716
541-08-3113,527.76,63.33,591.09,10.714
541-48-8554,548.55,65.83,614.38,10.715
541-89-9860,241.44,28.97,270.41,10.713
542-41-0513,229.96,27.6,257.56,10.716
544-32-5024,199.16,23.9,223.06,10.715
544-55-9589,214.3,25.72,240.02,10.716
545-07-8534,116.64,14,130.64,10.716
545-46-3100,31.77,3.81,35.58,10.708
546-80-2899,75.38,9.05,84.43,10.719
548-46-9322,399,47.88,446.88,10.714
548-48-3156,166.68,20,186.68,10.714
549-03-9315,758.96,91.08,850.04,10.715
549-23-9016,29.74,3.57,33.31,10.718
549-59-1358,265.89,31.91,297.8,10.715
549-84-7482,812.52,97.5,910.02,10.714
549-96-4200,68.16,8.18,76.34,10.715
550-84-8664,429.55,51.55,481.1,10.715
551-21-3069,207.63,24.92,232.55,10.716
552-44-5977,496,59.52,555.52,10.714
554-42-2417,954.4,114.53,1068.93,10.714
554-53-3790,222.12,26.65,248.77,10.713
554-53-8700,112.22,13.47,125.69,10.717
556-41-6224,269.12,32.29,301.41,10.713
556-72-8512,22.96,2.76,25.72,10.731
556-86-3144,74.29,8.91,83.2,10.709
556-97-7101,126.44,15.17,141.61,10.713
558-60-5016,299.7,35.96,335.66,10.713
558-80-4082,194.95,23.39,218.34,10.713
559-61-5987,17.75,2.13,19.88,10.714
559-98-9873,375.55,45.07,420.62,10.715
560-30-5617,123.85,14.86,138.71,10.713
560-49-6611,45.58,5.47,51.05,10.715
562-12-5430,264.45,31.73,296.18,10.713
563-36-9814,76.82,9.22,86.04,10.716
563-47-4072,334.86,40.18,375.04,10.714
563-91-7120,308.85,37.06,345.91,10.714
565-17-3836,190.68,22.88,213.56,10.714
565-67-6697,243,29.16,272.16,10.714
565-80-5980,189.52,22.74,212.26,10.713
565-91-4567,86,10.32,96.32,10.714
566-19-5475,335.79,40.29,376.08,10.713
566-71-1091,385.1,46.21,431.31,10.714
568-88-3448,25,3,28,10.714
568-90-5112,264.56,31.75,296.31,10.715
569-71-4390,43.74,5.25,48.99,10.716
569-76-2760,88.04,10.56,98.6,10.71
571-94-0759,746,89.52,835.52,10.714
573-10-3877,39.01,4.68,43.69,10.712
573-58-9734,91.11,10.93,102.04,10.711
573-98-8548,31.9,3.83,35.73,10.719
574-22-5561,826.3,99.16,925.46,10.715
574-31-8277,33.63,4.04,37.67,10.725
574-57-9721,86.54,10.38,96.92,10.71
574-80-1489,251.4,30.17,281.57,10.715
575-30-8091,580,69.6,649.6,10.714
575-67-1508,38.6,4.63,43.23,10.71
576-31-4774,220.23,26.43,246.66,10.715
577-34-7579,454.41,54.53,508.94,10.714
578-80-7669,74.97,9,83.97,10.718
582-52-8065,488.79,58.65,547.44,10.714
583-41-4548,116.69,14,130.69,10.712
583-72-1480,148.24,17.79,166.03,10.715
584-66-4073,56.5,6.78,63.28,10.714
584-86-7256,241.92,29.03,270.95,10.714
585-03-5943,181.1,21.73,202.83,10.713
585-11-6748,290.4,34.85,325.25,10.715
585-86-8361,136.4,16.37,152.77,10.715
585-90-0249,73.26,8.79,82.05,10.713
586-25-0848,86.38,10.37,96.75,10.718
587-03-7455,684.53,82.14,766.67,10.714
587-73-4862,53.45,6.41,59.86,10.708
588-01-7461,305.82,36.7,342.52,10.715
588-47-8641,560.4,67.25,627.65,10.715
589-02-8023,167.54,20.1,187.64,10.712
590-83-4591,524.7,62.96,587.66,10.714
592-34-6155,127.08,15.25,142.33,10.715
592-46-1692,257.39,30.89,288.28,10.715
593-08-5916,15.5,1.86,17.36,10.714
